,unlearn_n,forget_set_seed,unlearn_epochs,unlearn_lr,adv_lr,optimize_images,attack_method,unlearn_method,step_optimized,add_noise,input_noise,m,p_size,dis,flip_p,l2_norm,clip_norm,retain_acc,normal_acc,forget_acc,test_acc
17,100,-1,1,0.05,0.2,True,white_box,ga,0,False,1,1,1,0.1,,0.0,3,0.993627254509018,0.99,0.95,0.8828
18,100,-1,1,0.05,0.2,True,white_box,ga,10,False,1,1,1,0.1,,0.0019706799648702,3,0.9936072144288576,0.99,0.95,0.8838
19,100,-1,1,0.05,0.2,True,white_box,ga,20,False,1,1,1,0.1,,0.0040516140870749,3,0.993567134268537,0.99,0.95,0.8836
20,100,-1,1,0.05,0.2,True,white_box,ga,50,False,1,1,1,0.1,,0.0103039080277085,3,0.993006012024048,0.99,0.94,0.881
21,100,-1,1,0.05,0.2,True,white_box,ga,100,False,1,1,1,0.1,,0.025643553584814,3,0.9860721442885771,0.99,0.93,0.8744
22,100,-1,1,0.05,0.2,True,white_box,ga,200,False,1,1,1,0.1,,0.0524424873292446,3,0.9807615230460922,0.98,0.92,0.8672
23,100,-1,1,0.05,0.2,True,white_box,ga,500,False,1,1,1,0.1,,0.1102244704961776,3,0.978617234468938,0.98,0.92,0.8704
24,100,-1,1,0.05,0.2,True,white_box,ga,1000,False,1,1,1,0.1,,0.2329428493976593,3,0.9739679358717436,0.98,0.89,0.8662
25,100,-1,1,0.05,0.2,True,white_box,ga,2000,False,1,1,1,0.1,,0.6084684729576111,3,0.969118236472946,0.94,0.89,0.8654
0,100,-1,1,0.05,0.2,True,white_box,ga,5000,False,1,1,1,0.1,,3.0,3,0.10607214428857716,0.12,0.13,0.1038
